District,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
PESHAWAR,PESHAWAR-I,NA-1,Mr Sajid Abdullah,Pakistan Tehreek-e-Insaf,2029,65642,1552,67194,233907,28.73
PESHAWAR,PESHAWAR-I,NA-1,Mr Shabir Ahmad,Muttahidda Majlis-e-Amal Pakistan,37179,65642,1552,67194,233907,28.73
PESHAWAR,PESHAWAR-I,NA-1,Mr Usman Bashir Bilour,Awami National Party,23002,65642,1552,67194,233907,28.73
PESHAWAR,PESHAWAR-I,NA-1,Mr Muhammad Khurshid Khan Advocate,Independent,1537,65642,1552,67194,233907,28.73
PESHAWAR,PESHAWAR-I,NA-1,Mr Muhammad Muazzam Butt,Pakistan Muslim League(QA),1417,65642,1552,67194,233907,28.73
PESHAWAR,PESHAWAR-II,NA-2,Dr Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,15771,56000,1367,57367,216587,26.49
PESHAWAR,PESHAWAR-II,NA-2,Mr Abdul Manan Akhunzada Advocate,Pakistan Peoples party(Sherpao),926,56000,1367,57367,216587,26.49
PESHAWAR,PESHAWAR-II,NA-2,Maulana Rehmat Ullah,Muttahidda Majlis-e-Amal Pakistan,37728,56000,1367,57367,216587,26.49
PESHAWAR,PESHAWAR-III,NA-3,Mr Arbab Muhammad Ayub Jan,National Alliance,8838,67357,1955,69312,226299,30.63
PESHAWAR,PESHAWAR-III,NA-3,Mr Iqbal Zafar Jhagra,Pakistan Muslim League(N),5956,67357,1955,69312,226299,30.63
PESHAWAR,PESHAWAR-III,NA-3,Mr Saleem Akbar Khan,Pakistan Awami Tehreek,748,67357,1955,69312,226299,30.63
PESHAWAR,PESHAWAR-III,NA-3,Qari Fayazur Rehman Alvi,Muttahidda Majlis-e-Amal Pakistan,33567,67357,1955,69312,226299,30.63
PESHAWAR,PESHAWAR-III,NA-3,Mr Kiramatullah Khan,Pakistan Peoples Party Parliamentarians,14662,67357,1955,69312,226299,30.63
PESHAWAR,PESHAWAR-III,NA-3,Mr Hidayatullah Khan,Pakistan Peoples party(Sherpao),3403,67357,1955,69312,226299,30.63
PESHAWAR,PESHAWAR-IV,NA-4,Mr Arbab Muhammad Zahir Khan,Awami National Party,16660,63597,2226,65823,222276,29.61
PESHAWAR,PESHAWAR-IV,NA-4,Mr Arbab Shabeer Ahmad Advocate,Pakistan Muslim League(QA),6266,63597,2226,65823,222276,29.61
PESHAWAR,PESHAWAR-IV,NA-4,Haji Abdur Raziq,Pakistan Muslim League(N),4887,63597,2226,65823,222276,29.61
PESHAWAR,PESHAWAR-IV,NA-4,Haji Javed Iqbal Barki,Pakistan Tehreek-e-Insaf,4500,63597,2226,65823,222276,29.61
PESHAWAR,PESHAWAR-IV,NA-4,Mr Muhammad Intikhab Khan,Pakistan Muslim League(Z),2556,63597,2226,65823,222276,29.61
NOWSHERA,NOWSHERA-I,NA-5,Mian Rashid Ali Shah,Awami National Party,11944,75012,2153,77165,206271,37.41
NOWSHERA,NOWSHERA-I,NA-5,Mr Naseer Ullah Khan Babar,Pakistan Peoples Party Parliamentarians,22189,75012,2153,77165,206271,37.41
Nowshera,Nowshera-II,NA-6,Haji Sher Zada Khan,Awami National Party,9355,65993,2467,68460,194949,35.12
Nowshera,Nowshera-II,NA-6,Maulana Hamid-ul-Haq Haqani,Muttahidda Majlis-e-Amal Pakistan,33242,65993,2467,68460,194949,35.12
Nowshera,Nowshera-II,NA-6,Mian Muzaffar Shah,Pakistan Peoples Party(Sherpao),5810,65993,2467,68460,194949,35.12
Nowshera,Nowshera-II,NA-6,Mr Naseer Ullah Khan Babar,Pakistan Peoples Party Parliamentarians,16655,65993,2467,68460,194949,35.12
Charsadda,Charsadda-I,NA-7,Maulana Muhammad Gohar Shah,Muttahidda Majlis-e-Amal Pakistan,55917,87281,2099,89380,242084,36.92
Charsdda,Charsdda-II,NA-8,Mr Aftab Ahmad Khan Sherpao,Pakistan Peoples party(Sherpao),42326,62739,1673,64412,217430,29.62
Charsdda,Charsdda-II,NA-8,Haji Sharifullah Khan,Independent,1105,62739,1673,64412,217430,29.62
Charsdda,Charsdda-II,NA-8,Mr Shamas Khan,Pakistan Mazdoor Kissan Party,962,62739,1673,64412,217430,29.62
Mardan,Mardan-I,NA-9,Mr Sarfaraz Khan,Independent,1417,77668,1722,79390,221113,35.9
Mardan,Mardan-I,NA-9,Mr Shujaul Mulk,Muttahidda Majlis-e-Amal Pakistan,54479,77668,1722,79390,221113,35.9
Mardan,Mardan-I,NA-9,Mr Abbas Sarfaraz Khan,Independent,15376,77668,1722,79390,221113,35.9
Mardan,Mardan-I,NA-9,Mr Murad Khan,Pakistan Peoples Party Parliamentarians,5077,77668,1722,79390,221113,35.9
Mardan,Mardan-I,NA-9,Mr Yousaf Shah,Pakistan Tehreek-e-Insaf,1049,77668,1722,79390,221113,35.9
Mardan,Mardan-II,NA-10,Mr Rahim Dad Khan,Pakistan Peoples Party Parliamentarians,14541,87691,1713,89404,223817,39.95
Mardan,Mardan-II,NA-10,Mr Sher Muhammad Khan,Pakistan Muslim League(QA),2858,87691,1713,89404,223817,39.95
Mardan,Mardan-II,NA-10,Maulana Muhammad Qasim,Muttahidda Majlis-e-Amal Pakistan,69726,87691,1713,89404,223817,39.95
Mardan,Mardan-III,NA-11,Dr Muhammad Afzal Khan,Pakistan Tehreek-e-Insaf,5923,72303,1757,74060,223487,33.14
Mardan,Mardan-III,NA-11,Maulana Attaur-Rehman,Muttahidda Majlis-e-Amal Pakistan,51918,72303,1757,74060,223487,33.14
Sawabi,Sawabi-I,NA-12,Mr Shehryar Khan,Awami National Party,32038,86830,2009,88839,236270,37.6
Sawabi,Sawabi-I,NA-12,Mr Muhammad Usman,Muttahidda Majlis-e-Amal Pakistan,53825,86830,2009,88839,236270,37.6
Sawabi,Sawabi-II,NA-13,Mr Iftikhar Khan,Pakistan Muslim League(N),16749,88935,2515,91450,237950,38.43
Sawabi,Sawabi-II,NA-13,Professor Munawar Khan,National Alliance,1853,88935,2515,91450,237950,38.43
Sawabi,Sawabi-II,NA-13,Mr Muhammad Sadiq Khan,Awami National Party,19471,88935,2515,91450,237950,38.43
Sawabi,Sawabi-II,NA-13,Maulana Khalil Ahmed,Muttahidda Majlis-e-Amal Pakistan,50096,88935,2515,91450,237950,38.43
Kohat,Kohat,NA-14,Syed Iftikhar Hussain Gillani,Pakistan Muslim League(QA),14277,95825,3748,99573,317082,31.4
Kohat,Kohat,NA-14,Syed Mazher Ali Shah,Pak Wattan Party,599,95825,3748,99573,317082,31.4
Kohat,Kohat,NA-14,Mr Saifullah Khan Khattak Advocate,Pakistan Peoples Party Parliamentarians,7205,95825,3748,99573,317082,31.4
Kohat,Kohat,NA-14,Mr Shah Baz Gul Shinwari,National Alliance,1520,95825,3748,99573,317082,31.4
Kohat,Kohat,NA-14,Mr Sheharyar Afridi,Independent,12083,95825,3748,99573,317082,31.4
Kohat,Kohat,NA-14,Mr Fazal Rahim Khattak,Awami National Party,11299,95825,3748,99573,317082,31.4
Kohat,Kohat,NA-14,Mufti Ibrar Sultan,Muttahidda Majlis-e-Amal Pakistan,46130,95825,3748,99573,317082,31.4
Karak,Karak,NA-15,Mr Badshah Jan,Pakistan Pakhtoonkhawa Milli Awami Party,193,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Rehmat Salam,Pakistan Muslim League(N),13381,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Said Ullah Shah,Pakistan Peoples Party(Sherpao),3237,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Shah Abdul Aziz,Muttahidda Majlis-e-Amal Pakistan,31325,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Imran Ahmad Khan Niazi,Pakistan Tehreek-e-Insaf,9972,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Farzana Masood,Independent,83,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Muhammad Iqbal,Independent,75,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Muhammad Amin Khattak,Awami National Party,9110,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mr Masood Sharif Khattak,Pakistan Peoples Party Parliamentarians,17712,95644,1780,97424,251508,38.74
Karak,Karak,NA-15,Mir Zakim Khan,Independent,1113,95644,1780,97424,251508,38.74
Hangu,Hangu,NA-16,Mr Javed Ibrahim Paracha,Pakistan Muslim League(N),421,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Hafiz Khursheed Ali Khan,Independent,447,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Mr Hassan Ahmed Khan,Awami National Party,5234,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Dr Muhammad Aslam Khan,Independent,758,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Mr Zaman Noor Bangash,Pakistan Tehreek-e-Insaf,3137,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Mr Shaharyar Khan Bangash,Pakistan Muslim League(QA),4189,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Col ® Muhammad Idress Niazi,Pakistan Peoples Party(Sherpao),4035,44976,1249,46225,160984,28.71
Hangu,Hangu,NA-16,Kishwar Sultana,Pakistan Awami Tehreek,1503,44976,1249,46225,160984,28.71
Abbottabad,Abbottabad-I,NA-17,Al-Haj Habib-ur-Rehman Abbasi,Muttahidda Majlis-e-Amal Pakistan,21383,109254,3375,112629,284297,39.62
Abbottabad,Abbottabad-I,NA-17,Mr Amanullah Khan Jadoon,Pakistan Muslim League(QA),44716,109254,3375,112629,284297,39.62
Abbottabad,Abbottabad-I,NA-17,Dr Azhar Khan Jadoon,Independent,30949,109254,3375,112629,284297,39.62
Abbottabad,Abbottabad-I,NA-17,Sardar Ibrar Ahmad,Pakistan Peoples Party Parliamentarians,3646,109254,3375,112629,284297,39.62
Abbottabad,Abbottabad-I,NA-17,Syed Ejaz Hussain Shah,Independent,489,109254,3375,112629,284297,39.62
Abbottabad,Abbottabad-I,NA-17,Mr Ali Asghar Khan,Qaumi Jamhoori Party,4687,109254,3375,112629,284297,39.62
Abbottabad,Abbottabad-II,NA-18,Qari Syed Abdul Rahim Shah,Muttahidda Majlis-e-Amal Pakistan,13017,114080,3200,117280,323694,36.23
Abbottabad,Abbottabad-II,NA-18,Qazi Muhammad Azhar,National Alliance,6145,114080,3200,117280,323694,36.23
Abbottabad,Abbottabad-II,NA-18,Col ® Abdul Ghafar Javed,Independent,2145,114080,3200,117280,323694,36.23
Abbottabad,Abbottabad-II,NA-18,Mr Muhammad Aurangzeb Choudhry,Pakistan Awami Tehreek,3516,114080,3200,117280,323694,36.23
Abbottabad,Abbottabad-II,NA-18,Mr Murtaza Javed Abbasi,Pakistan Muslim League(N),32527,114080,3200,117280,323694,36.23
Abbottabad,Abbottabad-II,NA-18,Nawabzada Jehangir Saeed Tanoli,Independent,19784,114080,3200,117280,323694,36.23
Abbottabad,Abbottabad-II,NA-18,Mr Naveed Ashraf Abbasi,Independent,120,114080,3200,117280,323694,36.23
Haripur,Haripur,NA-19,Mr S Muhammad Sabir Shah,Pakistan Muslim League(N),61359,199787,6277,206064,453508,45.44
Haripur,Haripur,NA-19,Mr S Waqar Hussain Shah,Independent,1582,199787,6277,206064,453508,45.44
Haripur,Haripur,NA-19,Mr Abdul Hamid Khan,Pakistan Awami Tehreek,1978,199787,6277,206064,453508,45.44
Haripur,Haripur,NA-19,Mr Umer Ayub Khan,Pakistan Muslim League(QA),81496,199787,6277,206064,453508,45.44
Haripur,Haripur,NA-19,Mr Ghulam Nabi,Muttahidda Majlis-e-Amal Pakistan,30514,199787,6277,206064,453508,45.44
Haripur,Haripur,NA-19,Mr Muhammad Shehryar Khan,Pakistan Muslim League(J),5956,199787,6277,206064,453508,45.44
Mansehra,Mansehra-I,NA-20,Sardar Shah Jehan Yousuf,Pakistan Muslim League(QA),40853,117395,3379,120774,327352,36.89
Mansehra,Mansehra-I,NA-20,Sardar Wiqarul Mulk,Pakistan Peoples Party Parliamentarians,1442,117395,3379,120774,327352,36.89
Mansehra,Mansehra-I,NA-20,Lt Gen ® Syed Salahuddin Tirmizi,Independent,37520,117395,3379,120774,327352,36.89
Mansehra,Mansehra-I,NA-20,Mr Muhammad Saqib Mumtaz,Pakistan Muslim League(N),1754,117395,3379,120774,327352,36.89
Mansehra,Mansehra-I,NA-20,Mr Naveed Akhter Khan,Pakistan Tehreek-e-Insaf,250,117395,3379,120774,327352,36.89
Mansehra,Mansehra-II,NA-21,Mr Faiz Muhammad Khan,Independent,25771,103797,1836,105633,310360,34.04
Mansehra,Mansehra-II,NA-21,Maulana Abdul Malik,Muttahidda Majlis-e-Amal Pakistan,46311,103797,1836,105633,310360,34.04
Mansehra,Mansehra-II,NA-21,Nawabzada Salauddin Saeed,Pakistan Muslim League(QA),24557,103797,1836,105633,310360,34.04
Batagram,Batagram,NA-22,Mr Inayatullah Khan,Independent,1216,45792,1422,47214,139808,33.77
Batagram,Batagram,NA-22,Qari Muhammad Yousaf,Muttahidda Majlis-e-Amal Pakistan,24092,45792,1422,47214,139808,33.77
Batagram,Batagram,NA-22,Mr Mohammad Nawaz Khan,Pakistan Muslim League(QA),10875,45792,1422,47214,139808,33.77
Kohistan,Kohistan,NA-23,Mr Saif-ur-Rehman,Independent,1696,39592,1012,40604,251512,16.14
Kohistan,Kohistan,NA-23,Mr Abbas Sarfaraz Khan,Independent,7915,39592,1012,40604,251512,16.14
Kohistan,Kohistan,NA-23,Mr Mehboobullah Jan,Pakistan Muslim League(QA),10630,39592,1012,40604,251512,16.14
Kohistan,Kohistan,NA-23,Mr Muhammad Aslam,Independent,3143,39592,1012,40604,251512,16.14
Kohistan,Kohistan,NA-23,Mr Muhammad Anwar,Independent,169,39592,1012,40604,251512,16.14
Kohistan,Kohistan,NA-23,Molvi Abdul Haleem,Muttahidda Majlis-e-Amal Pakistan,15603,39592,1012,40604,251512,16.14
Dera Ismail Khan,Dera Ismail Khan,NA-24,Mr Javed Hassan Laghari,National Alliance,774,110608,2445,113053,267513,42.26
Dera Ismail Khan,Dera Ismail Khan,NA-24,Mr Abid Hussain Chughtai,Pak Wattan Party,486,110608,2445,113053,267513,42.26
Dera Ismail Khan,Dera Ismail Khan,NA-24,Mr Abdul Aziz,Pakistan Awami Tehreek,492,110608,2445,113053,267513,42.26
Dera Ismail Khan,Dera Ismail Khan,NA-24,Maulana Atta-ur-Rehman,Independent,1981,110608,2445,113053,267513,42.26
Dera Ismail Khan,Dera Ismail Khan,NA-24,Maulana Fazal-ur-Rehman,Muttahidda Majlis-e-Amal Pakistan,43124,110608,2445,113053,267513,42.26
Dera Ismail Khan,Dera Ismail Khan,NA-24,Mr Faisal Karim Kundi,Pakistan Peoples Party Parliamentarians,36891,110608,2445,113053,267513,42.26
Dera Ismail Khan cum Tank,Dera Ismail Khan cum Tank,NA-25,Alhaj Sardar Umar Farooq Khan Mian Khel,Pakistan Muslim League(QA),18882,117651,3622,121273,271364,44.69
Dera Ismail Khan cum Tank,Dera Ismail Khan cum Tank,NA-25,Mr Dawar Khan Kundi,Pakistan Peoples Party Parliamentarians,31976,117651,3622,121273,271364,44.69
Dera Ismail Khan cum Tank,Dera Ismail Khan cum Tank,NA-25,Mr Abdul Waheed,Independent,1246,117651,3622,121273,271364,44.69
Dera Ismail Khan cum Tank,Dera Ismail Khan cum Tank,NA-25,Mr Farooq Khan,National Alliance,1415,117651,3622,121273,271364,44.69
Dera Ismail Khan cum Tank,Dera Ismail Khan cum Tank,NA-25,Maulana Atta-ur-Rehman,Independent,1501,117651,3622,121273,271364,44.69
Dera Ismail Khan cum Tank,Dera Ismail Khan cum Tank,NA-25,Maulana Fazal-ur-Rehman,Muttahidda Majlis-e-Amal Pakistan,59102,117651,3622,121273,271364,44.69
Bannu,Bannu,NA-26,Mr Muhammad Roshan,Muttahida Qaumi Movement,603,112496,2108,114604,297451,38.53
Bannu,Bannu,NA-26,Mr Muhammad Mustafa Khan,Independent,31867,112496,2108,114604,297451,38.53
Bannu,Bannu,NA-26,Maulana Nasib Ali Shah,Muttahidda Majlis-e-Amal Pakistan,78886,112496,2108,114604,297451,38.53
Lakki Marwat,Lakki Marwat,NA-27,Maulana Amanullah Khan,Muttahidda Majlis-e-Amal Pakistan,65938,107109,2078,109187,234619,46.54
Buner,Buner,NA-28,Mr Sher Akbar Khan Advocate,Pakistan Peoples party(Sherpao),34224,73731,2670,76401,269067,28.39
Buner,Buner,NA-28,Mr Abdul Mateen Khan,Awami National Party,19638,73731,2670,76401,269067,28.39
Buner,Buner,NA-28,Mr Usman Shah,Pakistan Peoples Party Parliamentarians,4362,73731,2670,76401,269067,28.39
Buner,Buner,NA-28,Mr Ali Sher Khan,Pakistan Muslim League(N),3034,73731,2670,76401,269067,28.39
Sawat,Sawat-I,NA-29,Mr Adnan Aurang Zeb,Pakistan Muslim League(QA),18265,97986,2465,100451,314521,31.94
Sawat,Sawat-I,NA-29,Mr Azeem Khan Advocate,National Alliance,1932,97986,2465,100451,314521,31.94
Sawat,Sawat-I,NA-29,Mr Imran Khan,Pakistan Tehreek-e-Insaf,6060,97986,2465,100451,314521,31.94
Sawat,Sawat-I,NA-29,Qari Abdul Baees Saddiqui,Muttahidda Majlis-e-Amal Pakistan,65808,97986,2465,100451,314521,31.94
Sawat,Sawat-II,NA-30,Mr Salim Rehman,Pakistan Peoples Party Parliamentarians,10867,99169,3134,102303,315636,32.41
Sawat,Sawat-II,NA-30,Mr Shujaat Ali Khan,Pakistan Muslim League(QA),15680,99169,3134,102303,315636,32.41
Sawat,Sawat-II,NA-30,Mr Shaukat Ali,Pakistan Awami party,2592,99169,3134,102303,315636,32.41
Sawat,Sawat-II,NA-30,Mr Fazal-e-Subhan,Muttahidda Majlis-e-Amal Pakistan,67085,99169,3134,102303,315636,32.41
Sawat,Sawat-II,NA-30,Mr Muhammad Mukhtar,Pakistan Pakhtoonkhawa Milli Awami Party,2134,99169,3134,102303,315636,32.41
Shangla,Shangla,NA-31,Mr Amir Muqam,Muttahidda Majlis-e-Amal Pakistan,25960,60085,1677,61762,225373,27.4
Shangla,Shangla,NA-31,Mr Jamal Zeb Khan,Pakistan Muslim League(N),2743,60085,1677,61762,225373,27.4
Shangla,Shangla,NA-31,Dr Safeer Khan,Awami National Party,18676,60085,1677,61762,225373,27.4
Shangla,Shangla,NA-31,Mr Ibadullah,Independent,406,60085,1677,61762,225373,27.4
Shangla,Shangla,NA-31,Mr Muhammad Saleem Khan,Independent,531,60085,1677,61762,225373,27.4
Chitral,Chitral,NA-32,Mr Iftikharuddin,Pakistan Muslim League(QA),23907,81415,2572,83987,170954,49.13
Chitral,Chitral,NA-32,Sardar Ali S Aman,Pakistan Peoples Party Parliamentarians,20862,81415,2572,83987,170954,49.13
Chitral,Chitral,NA-32,Mr Abdul Latif,Pakistan Tehreek-e-Insaf,516,81415,2572,83987,170954,49.13
Upper Dir,Upper Dir,NA-33,Barrister Muhammad Islam Khan,Pakistan Peoples party(Sherpao),4184,71934,2581,74515,230952,32.26
Upper Dir,Upper Dir,NA-33,Mr Gul Zamin Said,Awami National Party,3268,71934,2581,74515,230952,32.26
Upper Dir,Upper Dir,NA-33,Mr Sultan Ali Shah,Pakistan Tehreek-e-Insaf,861,71934,2581,74515,230952,32.26
Upper Dir,Upper Dir,NA-33,Molana Asad Ullah,Muttahidda Majlis-e-Amal Pakistan,39362,71934,2581,74515,230952,32.26
Lower Dir,Lower Dir,NA-34,Sardar Abul Hakeem Tajak Advocate,Pakistan Muslim League(QA),1123,90673,2072,92745,327902,28.28
Lower Dir,Lower Dir,NA-34,Qazi Hussain Ahmad,Muttahidda Majlis-e-Amal Pakistan,53799,90673,2072,92745,327902,28.28
Lower Dir,Lower Dir,NA-34,Mr Muhammad Ayub Khan,Awami National Party,34078,90673,2072,92745,327902,28.28
Lower Dir,Lower Dir,NA-34,Mr Muhammad Bashir,Pakistan Tehreek-e-Insaf,1136,90673,2072,92745,327902,28.28
Lower Dir,Lower Dir,NA-34,Mr Muhammad Rashid Khan Advocate,Pakistan Muslim League(N),224,90673,2072,92745,327902,28.28
Malakand,Malakand,NA-35,Mr Ziaullah,Pakistan Muslim League(N),1930,69576,1915,71491,206496,34.62
Malakand,Malakand,NA-35,Mr Lal Muhammad Khan,Pakistan Peoples Party Parliamentarians,17538,69576,1915,71491,206496,34.62
Malakand,Malakand,NA-35,Mr Muhammad Riaz Khan,Pakistan Muslim League(QA),5161,69576,1915,71491,206496,34.62
Malakand,Malakand,NA-35,Maulana Muhammad Inayat-ur-Rehman,Muttahidda Majlis-e-Amal Pakistan,37663,69576,1915,71491,206496,34.62
Malakand,Malakand,NA-35,Mr Nowsherwan Qasir,Pakistan Tehreek-e-Insaf,2117,69576,1915,71491,206496,34.62
Tribal Area,Tribal Area-I,NA-36,Haji Nadir Khan,Independent,74,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Mr Hazrat Khan,Independent,1730,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Mr Azmat Khan,Independent,3922,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Mr Mehbub Sher,Independent,1208,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Mr Muhammad Azad Khan,Independent,27,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Mr Zahir Shah Advocate,Independent,60,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Mr Muallam Khan,Independent,76,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Malik Badri Zaman,Independent,959,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Maulana Ghulam Muhammad Sadiq,Independent,16358,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-I,NA-36,Major ® Rooman Khan,Independent,170,24648,341,24989,108081,23.12
Tribal Area,Tribal Area-II,NA-37,Dr Sayed Javaid Hussain Mian,Independent,21053,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Dr Syed Riaz Hussain,Independent,27,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Dr Abdul Janan,Independent,3,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Sayed Altaf Hussain,Independent,2,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Sayed Muhammad,Independent,38,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Sayed Muhammad Jawad (Jawad Agha),Independent,8602,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Sayed Wali Sayed Mian,Independent,5653,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Mr Eid Nazar Mangal,Independent,5858,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Mr Muhammad Asgher,Independent,32,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Mr Muslim Khan,Independent,5,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Mir Zaman Bangash,Independent,6,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Mr Nasir Hussain,Independent,6,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-II,NA-37,Mr Naveed Ahmad Khan,Independent,14,41321,711,42032,138559,30.34
Tribal Area,Tribal Area-III,NA-38,Engineer Rashid Ahmad Khan Chamkani,Independent,61,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Haji Daulat Khan Chamkani,Independent,45,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Haji Suhbat Khan Orakzai,Independent,12,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Haji Fazli Maula Massozai,Independent,1797,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Dr Abdul Janan,Independent,7,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Dr Gul Manan,Independent,3427,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Zar Bat Khan,Independent,39,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Salah-ud-din,Independent,2064,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Abdul Qadir Khan,Independent,34,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Abdul Wali Khan,Independent,17,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Fakhar Zaman Khan,Independent,68,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Muhammad Nawaz,Independent,28,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Muhammad Yaqoob,Independent,749,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Malik Muhammad Naseer Khan Orakzai,Independent,23,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Munir Khan Orakzai,Independent,6619,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Maulana Ainuddin Shakir,Independent,1033,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-III,NA-38,Mr Naveed Ahmad Khan,Independent,16,16046,304,16350,95484,17.12
Tribal Area,Tribal Area-IV,NA-39,Dr Sayed Ghazi Gulab Jamal,Independent,11186,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-IV,NA-39,Mr Sohrab Ali,Independent,6255,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-IV,NA-39,Syed Gul Hussain Orakzai Advocate,Independent,1097,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-IV,NA-39,Mr Saifullah Khan Orakzai,Independent,20,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-IV,NA-39,Mr Fida Hussain,Independent,39,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-IV,NA-39,Mr Muhammad Jan Orakzai,Independent,1471,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-IV,NA-39,Mian Hussain Jalali,Independent,8006,28176,335,28511,97620,29.21
Tribal Area,Tribal Area-V,NA-40,Engineer Abdul Qayyum,Independent,2547,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Mr Jahanzeb Khan,Independent,13,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Haji Wresham Jan,Independent,87,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Mr Hussain Ahmad Sadiq,Independent,143,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Dr Bashir Ahmad,Independent,467,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Dr Azimullah Khan,Independent,537,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Dr Gul Alam Khan Wazir,Independent,1306,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Dr Madad Khan,Independent,35,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Mr Zar Mali Khan,Independent,322,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Mr Raza-u-Din,Independent,594,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Sardar Mohammad Khan,Independent,72,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Syed Ghawas Khan,Independent,395,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Mr Abdur Rehman,Independent,15,28600,289,28889,96448,29.95
Tribal Area,Tribal Area-V,NA-40,Mr Abdul Alim Mohammad (Alim),Independent,17,28600,289,28889,96448,29.95
